[ 2018-07-27T11:40:44+08:00 ] 127.0.0.1 /Home/Orders/getOrdersKline?currency=52&time=kline_1h
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.001000s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000000s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000000s ]
NOTIC: [2] preg_match(): Delimiter must not be alphanumeric or backslash D:\WWW\xiao\App\Common\Common\function.php 第 614 行.
NOTIC: [2] preg_match(): Delimiter must not be alphanumeric or backslash D:\WWW\xiao\App\Common\Common\function.php 第 614 行.
SQL: SHOW COLUMNS FROM `blue_config` [ RunTime:0.0150s ]
SQL: SELECT * FROM `blue_config`  [ RunTime:0.0020s ]
SQL: SHOW COLUMNS FROM `blue_purse_download` [ RunTime:0.0140s ]
SQL: SELECT * FROM `blue_purse_download` ORDER BY add_time desc LIMIT 0,6   [ RunTime:0.0000s ]
SQL: SHOW COLUMNS FROM `blue_dividend_config` [ RunTime:0.0090s ]
SQL: SELECT * FROM `blue_dividend_config`  [ RunTime:0.0000s ]
SQL: SHOW COLUMNS FROM `blue_article_category` [ RunTime:0.0090s ]
SQL: SELECT * FROM `blue_article_category` WHERE ( parent_id = 6 ) LIMIT 4   [ RunTime:0.0010s ]
SQL: SHOW COLUMNS FROM `blue_article` [ RunTime:0.0090s ]
SQL: SELECT * FROM `blue_article` WHERE ( position_id = 7 ) LIMIT 4   [ RunTime:0.0000s ]
SQL: SHOW COLUMNS FROM `blue_member` [ RunTime:0.0090s ]
SQL: SELECT *,(rmb+forzen_rmb) as count FROM `blue_member` WHERE ( member_id='10375' ) LIMIT 1   [ RunTime:0.0000s ]
SQL: SHOW COLUMNS FROM `blue_orders` [ RunTime:0.0100s ]
SQL: SHOW COLUMNS FROM `blue_message` [ RunTime:0.0080s ]
SQL: SELECT COUNT(*) AS tp_count FROM `blue_message` WHERE `member_id` = '10375' AND `status` = 0 LIMIT 1   [ RunTime:0.0000s ]
SQL: SHOW COLUMNS FROM `blue_currency` [ RunTime:0.0090s ]
SQL: SELECT * FROM `blue_currency` WHERE ( is_line=1  ) ORDER BY sort  [ RunTime:0.0000s ]
NOTIC: [8] Undefined variable: whereMark D:\WWW\xiao\App\Common\Controller\CommonController.class.php 第 106 行.
SQL: SELECT `currency_id`,`currency_name`,`currency_logo`,`currency_mark` FROM `blue_currency` LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT `currency_id`,`currency_name`,`currency_logo`,`currency_mark` FROM `blue_currency` WHERE `is_line` = 1  [ RunTime:0.0000s ]
SQL: SELECT `price` FROM `blue_orders` WHERE ( currency_id = 52 ) ORDER BY add_time desc LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT `price` FROM `blue_orders` WHERE ( currency_id = 53 ) ORDER BY add_time desc LIMIT 1   [ RunTime:0.0010s ]
SQL: SELECT `price` FROM `blue_orders` WHERE ( currency_id = 54 ) ORDER BY add_time desc LIMIT 1   [ RunTime:0.0000s ]
SQL: SHOW COLUMNS FROM `blue_trade` [ RunTime:0.0090s ]
SQL: SELECT SUM(num) AS tp_sum FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532446844 AND 1532450444 LIMIT 1   [ RunTime:0.0180s ]
SQL: SELECT `price` FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` <= 1532450444 ORDER BY add_time desc LIMIT 1   [ RunTime:0.0010s ]
SQL: SELECT MAX(price) AS tp_max FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532446844 AND 1532450444 LIMIT 1   [ RunTime:0.0080s ]
SQL: SELECT MIN(price) AS tp_min FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532446844 AND 1532450444 LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT `price` FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532446844 AND 1532450444 ORDER BY add_time asc LIMIT 1   [ RunTime:0.0010s ]
SQL: SELECT SUM(num) AS tp_sum FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532450444 AND 1532454044 LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT `price` FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` <= 1532454044 ORDER BY add_time desc LIMIT 1   [ RunTime:0.0010s ]
SQL: SELECT MAX(price) AS tp_max FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532450444 AND 1532454044 LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT MIN(price) AS tp_min FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532450444 AND 1532454044 LIMIT 1   [ RunTime:0.0010s ]
SQL: SELECT `price` FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532450444 AND 1532454044 ORDER BY add_time asc LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT SUM(num) AS tp_sum FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532454044 AND 1532457644 LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT `price` FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` <= 1532457644 ORDER BY add_time desc LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT MAX(price) AS tp_max FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532454044 AND 1532457644 LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT MIN(price) AS tp_min FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532454044 AND 1532457644 LIMIT 1   [ RunTime:0.0010s ]
SQL: SELECT `price` FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532454044 AND 1532457644 ORDER BY add_time asc LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT SUM(num) AS tp_sum FROM `blue_trade` WHERE `currency_id` = 52 AND `type` = 'buy' AND `add_time` BETWEEN 1532457644 AND 1532461244 LIMIT 1   [ RunTime:0.0010s ]
